Voltage(V),Current(A),PD Current(A),J (mA/cm2),L (cd/m2),Cur Eff (cd/A),Power Eff (lm/W),EQE(%),CIE X,CIE Y,Wav (nm),Intensity (au)
,,,,,,,,,,556.8,1.562e-05
,,,,,,,,,,557.2,1.384e-05
,,,,,,,,,,557.5,1.339e-05
,,,,,,,,,,557.8,2.723e-05
,,,,,,,,,,558.2,7.588e-06
,,,,,,,,,,558.5,1.518e-05
,,,,,,,,,,558.9,1.651e-05
,,,,,,,,,,559.2,2.499e-05
,,,,,,,,,,559.5,1.25e-05
,,,,,,,,,,559.9,2.187e-05
,,,,,,,,,,560.2,1.875e-05
,,,,,,,,,,560.6,2.098e-05
,,,,,,,,,,560.9,1.651e-05
,,,,,,,,,,561.3,1.964e-05
,,,,,,,,,,561.6,2.098e-05
,,,,,,,,,,562.0,1.964e-05
,,,,,,,,,,562.3,2.633e-05
,,,,,,,,,,562.6,8.927e-06
,,,,,,,,,,563.0,1.518e-05
,,,,,,,,,,563.3,2.098e-05
,,,,,,,,,,563.7,1.919e-05
,,,,,,,,,,564.0,2.366e-05
,,,,,,,,,,564.3,2.723e-05
,,,,,,,,,,564.7,2.812e-05
,,,,,,,,,,565.0,3.258e-05
,,,,,,,,,,565.4,2.455e-05
,,,,,,,,,,565.7,2.187e-05
,,,,,,,,,,566.1,2.812e-05
,,,,,,,,,,566.4,1.205e-05
,,,,,,,,,,566.7,2.901e-05
,,,,,,,,,,567.1,1.116e-05
,,,,,,,,,,567.4,1.919e-05
,,,,,,,,,,567.8,1.875e-05
,,,,,,,,,,568.1,4.017e-05
,,,,,,,,,,568.5,3.169e-05
,,,,,,,,,,568.8,3.124e-05
,,,,,,,,,,569.1,4.106e-05
,,,,,,,,,,569.5,3.571e-05
,,,,,,,,,,569.8,5.177e-05
,,,,,,,,,,570.2,3.124e-05
,,,,,,,,,,570.5,3.526e-05
,,,,,,,,,,570.8,4.24e-05
,,,,,,,,,,571.2,5.579e-05
,,,,,,,,,,571.5,3.169e-05
,,,,,,,,,,571.9,2.856e-05
,,,,,,,,,,572.2,3.794e-05
,,,,,,,,,,572.6,5.356e-05
,,,,,,,,,,572.9,3.615e-05
,,,,,,,,,,573.2,5.892e-05
,,,,,,,,,,573.6,5.579e-05
,,,,,,,,,,573.9,6.427e-05
,,,,,,,,,,574.3,7.052e-05
,,,,,,,,,,574.6,6.65e-05
,,,,,,,,,,574.9,7.007e-05
,,,,,,,,,,575.3,5.847e-05
,,,,,,,,,,575.6,6.249e-05
,,,,,,,,,,576.0,7.365e-05
,,,,,,,,,,576.3,6.07e-05
,,,,,,,,,,576.7,6.74e-05
,,,,,,,,,,577.0,9.016e-05
,,,,,,,,,,577.3,6.427e-05
,,,,,,,,,,577.7,7.052e-05
,,,,,,,,,,578.0,7.9e-05
,,,,,,,,,,578.4,8.614e-05
,,,,,,,,,,578.7,8.525e-05
,,,,,,,,,,579.0,0.0001152
,,,,,,,,,,579.4,7.99e-05
,,,,,,,,,,579.7,0.000108
,,,,,,,,,,580.1,9.373e-05
,,,,,,,,,,580.4,9.641e-05
,,,,,,,,,,580.7,9.552e-05
,,,,,,,,,,581.1,0.0001219
,,,,,,,,,,581.4,0.000112
,,,,,,,,,,581.8,0.0001437
,,,,,,,,,,582.1,0.0001201
,,,,,,,,,,582.4,0.0001223
,,,,,,,,,,582.8,0.0001102
,,,,,,,,,,583.1,0.000146
,,,,,,,,,,583.5,0.000133
,,,,,,,,,,583.8,0.0001352
,,,,,,,,,,584.1,0.0001397
,,,,,,,,,,584.5,0.0001343
,,,,,,,,,,584.8,0.0001558
,,,,,,,,,,585.2,0.0001674
,,,,,,,,,,585.5,0.0001723
,,,,,,,,,,585.8,0.0001794
,,,,,,,,,,586.2,0.0001897
,,,,,,,,,,586.5,0.0001866
,,,,,,,,,,586.9,0.0001834
,,,,,,,,,,587.2,0.0002129
,,,,,,,,,,587.5,0.0002125
,,,,,,,,,,587.9,0.0002419
,,,,,,,,,,588.2,0.0002428
,,,,,,,,,,588.6,0.0002455
,,,,,,,,,,588.9,0.0002348
,,,,,,,,,,589.2,0.0002433
,,,,,,,,,,589.6,0.0002812
,,,,,,,,,,589.9,0.0002473
,,,,,,,,,,590.3,0.0002767
,,,,,,,,,,590.6,0.0002982
,,,,,,,,,,590.9,0.0003013
,,,,,,,,,,591.3,0.0003196
,,,,,,,,,,591.6,0.0003285
,,,,,,,,,,592.0,0.00032
,,,,,,,,,,592.3,0.0003473
,,,,,,,,,,592.6,0.0003459
,,,,,,,,,,593.0,0.0003584
,,,,,,,,,,593.3,0.000383
,,,,,,,,,,593.7,0.0003798
,,,,,,,,,,594.0,0.0004352
,,,,,,,,,,594.3,0.0004245
,,,,,,,,,,594.7,0.0004325
,,,,,,,,,,595.0,0.0004521
,,,,,,,,,,595.3,0.0004437
,,,,,,,,,,595.7,0.000478
,,,,,,,,,,596.0,0.0004896
,,,,,,,,,,596.4,0.0004874
,,,,,,,,,,596.7,0.0005329
,,,,,,,,,,597.0,0.0005472
,,,,,,,,,,597.4,0.0005378
,,,,,,,,,,597.7,0.0005718
,,,,,,,,,,598.0,0.0006133
,,,,,,,,,,598.4,0.0006365
,,,,,,,,,,598.7,0.0006159
,,,,,,,,,,599.1,0.0006615
,,,,,,,,,,599.4,0.0006833
,,,,,,,,,,599.7,0.0006816
,,,,,,,,,,600.1,0.0007124
,,,,,,,,,,600.4,0.0007418
,,,,,,,,,,600.8,0.0008003
,,,,,,,,,,601.1,0.0007748
,,,,,,,,,,601.4,0.0008382
,,,,,,,,,,601.8,0.0008512
,,,,,,,,,,602.1,0.0008637
,,,,,,,,,,602.5,0.0008855
,,,,,,,,,,602.8,0.0009123
,,,,,,,,,,603.1,0.000944
,,,,,,,,,,603.5,0.0009976
,,,,,,,,,,603.8,0.001027
,,,,,,,,,,604.1,0.001067
,,,,,,,,,,604.5,0.001075
,,,,,,,,,,604.8,0.001101
,,,,,,,,,,605.2,0.001172
,,,,,,,,,,605.5,0.001201
,,,,,,,,,,605.8,0.001241
,,,,,,,,,,606.2,0.001288
,,,,,,,,,,606.5,0.001351
,,,,,,,,,,606.8,0.001415
,,,,,,,,,,607.2,0.001468
,,,,,,,,,,607.5,0.001518
,,,,,,,,,,607.8,0.001547
,,,,,,,,,,608.2,0.001629
,,,,,,,,,,608.5,0.00166
,,,,,,,,,,608.9,0.001726
,,,,,,,,,,609.2,0.001804
,,,,,,,,,,609.5,0.001874
,,,,,,,,,,609.9,0.001921
,,,,,,,,,,610.2,0.001999
,,,,,,,,,,610.5,0.002054
,,,,,,,,,,610.9,0.0021
,,,,,,,,,,611.2,0.002265
,,,,,,,,,,611.6,0.00229
,,,,,,,,,,611.9,0.002405
,,,,,,,,,,612.2,0.00252
,,,,,,,,,,612.6,0.00264
,,,,,,,,,,612.9,0.002686
,,,,,,,,,,613.2,0.002803
,,,,,,,,,,613.6,0.002887
,,,,,,,,,,613.9,0.002994
,,,,,,,,,,614.2,0.003123
,,,,,,,,,,614.6,0.00325
,,,,,,,,,,614.9,0.003285
,,,,,,,,,,615.3,0.003429
,,,,,,,,,,615.6,0.003578
,,,,,,,,,,615.9,0.003717
,,,,,,,,,,616.3,0.003809
,,,,,,,,,,616.6,0.004009
,,,,,,,,,,616.9,0.004163
,,,,,,,,,,617.3,0.004301
,,,,,,,,,,617.6,0.004467
,,,,,,,,,,618.0,0.00456
,,,,,,,,,,618.3,0.004748
,,,,,,,,,,618.6,0.005011
,,,,,,,,,,619.0,0.00515
,,,,,,,,,,619.3,0.005347
,,,,,,,,,,619.6,0.005492
,,,,,,,,,,620.0,0.005685
,,,,,,,,,,620.3,0.005951
,,,,,,,,,,620.6,0.006063
,,,,,,,,,,621.0,0.006375
,,,,,,,,,,621.3,0.006506
,,,,,,,,,,621.6,0.006767
,,,,,,,,,,622.0,0.007031
,,,,,,,,,,622.3,0.007187
,,,,,,,,,,622.6,0.007338
,,,,,,,,,,623.0,0.007557
,,,,,,,,,,623.3,0.007761
,,,,,,,,,,623.7,0.007998
,,,,,,,,,,624.0,0.00818
,,,,,,,,,,624.3,0.008406
,,,,,,,,,,624.7,0.008546
,,,,,,,,,,625.0,0.008803
,,,,,,,,,,625.3,0.009033
,,,,,,,,,,625.7,0.009138
,,,,,,,,,,626.0,0.009216
,,,,,,,,,,626.3,0.009486
,,,,,,,,,,626.7,0.009667
,,,,,,,,,,627.0,0.009783
,,,,,,,,,,627.3,0.009933
,,,,,,,,,,627.7,0.01005
,,,,,,,,,,628.0,0.01017
,,,,,,,,,,628.3,0.01034
,,,,,,,,,,628.7,0.01038
,,,,,,,,,,629.0,0.01045
,,,,,,,,,,629.3,0.01053
,,,,,,,,,,629.7,0.01066
,,,,,,,,,,630.0,0.01072
,,,,,,,,,,630.3,0.01076
,,,,,,,,,,630.7,0.01077
,,,,,,,,,,631.0,0.01088
,,,,,,,,,,631.3,0.01091
,,,,,,,,,,631.7,0.0109
,,,,,,,,,,632.0,0.01094
,,,,,,,,,,632.3,0.01095
,,,,,,,,,,632.7,0.01096
,,,,,,,,,,633.0,0.01098
,,,,,,,,,,633.3,0.01092
,,,,,,,,,,633.7,0.01093
,,,,,,,,,,634.0,0.0109
,,,,,,,,,,634.3,0.01085
,,,,,,,,,,634.7,0.01086
,,,,,,,,,,635.0,0.0108
,,,,,,,,,,635.3,0.01073
,,,,,,,,,,635.7,0.01062
,,,,,,,,,,636.0,0.0106
,,,,,,,,,,636.3,0.01048
,,,,,,,,,,636.7,0.01048
,,,,,,,,,,637.0,0.01035
,,,,,,,,,,637.3,0.01024
,,,,,,,,,,637.7,0.0101
,,,,,,,,,,638.0,0.01001
,,,,,,,,,,638.3,0.009801
,,,,,,,,,,638.7,0.00978
,,,,,,,,,,639.0,0.009474
,,,,,,,,,,639.3,0.009357
,,,,,,,,,,639.7,0.009197
,,,,,,,,,,640.0,0.009
,,,,,,,,,,640.3,0.008712
,,,,,,,,,,640.7,0.008567
,,,,,,,,,,641.0,0.008274
,,,,,,,,,,641.3,0.008053
,,,,,,,,,,641.7,0.00785
,,,,,,,,,,642.0,0.007582
,,,,,,,,,,642.3,0.00747
,,,,,,,,,,642.7,0.007217
,,,,,,,,,,643.0,0.006937
,,,,,,,,,,643.3,0.006722
,,,,,,,,,,643.7,0.006525
,,,,,,,,,,644.0,0.006248
,,,,,,,,,,644.3,0.006043
,,,,,,,,,,644.7,0.005894
,,,,,,,,,,645.0,0.005769
,,,,,,,,,,645.3,0.005549
,,,,,,,,,,645.7,0.005349
,,,,,,,,,,646.0,0.005098
,,,,,,,,,,646.3,0.004939
,,,,,,,,,,646.7,0.004734
,,,,,,,,,,647.0,0.004511
,,,,,,,,,,647.3,0.004368
,,,,,,,,,,647.7,0.004238
,,,,,,,,,,648.0,0.004081
,,,,,,,,,,648.3,0.003969
,,,,,,,,,,648.7,0.003758
,,,,,,,,,,649.0,0.003621
,,,,,,,,,,649.3,0.003455
,,,,,,,,,,649.7,0.003406
,,,,,,,,,,650.0,0.00319
,,,,,,,,,,650.3,0.00308
,,,,,,,,,,650.7,0.003017
,,,,,,,,,,651.0,0.002883
,,,,,,,,,,651.3,0.002741
,,,,,,,,,,651.7,0.002682
,,,,,,,,,,652.0,0.00257
,,,,,,,,,,652.3,0.002483
,,,,,,,,,,652.6,0.002402
,,,,,,,,,,653.0,0.002316
,,,,,,,,,,653.3,0.00222
,,,,,,,,,,653.6,0.002157
,,,,,,,,,,654.0,0.002077
,,,,,,,,,,654.3,0.00198
,,,,,,,,,,654.6,0.001917
,,,,,,,,,,655.0,0.001822
,,,,,,,,,,655.3,0.001777
,,,,,,,,,,655.6,0.001685
,,,,,,,,,,656.0,0.001655
,,,,,,,,,,656.3,0.001541
,,,,,,,,,,656.6,0.00153
,,,,,,,,,,657.0,0.001469
,,,,,,,,,,657.3,0.001392
,,,,,,,,,,657.6,0.00135
,,,,,,,,,,657.9,0.001292
,,,,,,,,,,658.3,0.001233
,,,,,,,,,,658.6,0.001194
,,,,,,,,,,658.9,0.001108
,,,,,,,,,,659.3,0.00111
,,,,,,,,,,659.6,0.001084
,,,,,,,,,,659.9,0.001023
,,,,,,,,,,660.2,0.0009601
,,,,,,,,,,660.6,0.0009708
,,,,,,,,,,660.9,0.0009177
,,,,,,,,,,661.2,0.0009078
,,,,,,,,,,661.6,0.0008646
,,,,,,,,,,661.9,0.0008271
,,,,,,,,,,662.2,0.000769
,,,,,,,,,,662.6,0.0007784
,,,,,,,,,,662.9,0.0007347
,,,,,,,,,,663.2,0.0007083
,,,,,,,,,,663.5,0.0006874
,,,,,,,,,,663.9,0.0006664
,,,,,,,,,,664.2,0.0006454
,,,,,,,,,,664.5,0.0006427
,,,,,,,,,,664.9,0.0005959
,,,,,,,,,,665.2,0.000591
,,,,,,,,,,665.5,0.000553
,,,,,,,,,,665.9,0.0005392
,,,,,,,,,,666.2,0.0005102
,,,,,,,,,,666.5,0.0005262
,,,,,,,,,,666.8,0.0004945
,,,,,,,,,,667.2,0.00047
,,,,,,,,,,667.5,0.0004298
,,,,,,,,,,667.8,0.0004294
,,,,,,,,,,668.2,0.0003995
,,,,,,,,,,668.5,0.0003754
,,,,,,,,,,668.8,0.0003892
,,,,,,,,,,669.2,0.0003522
,,,,,,,,,,669.5,0.0003687
,,,,,,,,,,669.8,0.0003464
,,,,,,,,,,670.1,0.0003272
,,,,,,,,,,670.5,0.0003254
,,,,,,,,,,670.8,0.000291
,,,,,,,,,,671.1,0.0002973
,,,,,,,,,,671.5,0.0002906
,,,,,,,,,,671.8,0.0002897
,,,,,,,,,,672.1,0.0002517
,,,,,,,,,,672.5,0.0002678
,,,,,,,,,,672.8,0.000254
,,,,,,,,,,673.1,0.000233
,,,,,,,,,,673.4,0.0002316
,,,,,,,,,,673.8,0.0002049
,,,,,,,,,,674.1,0.0002196
,,,,,,,,,,674.4,0.0002098
,,,,,,,,,,674.7,0.0001879
,,,,,,,,,,675.1,0.0001955
,,,,,,,,,,675.4,0.0001955
,,,,,,,,,,675.7,0.0001736
,,,,,,,,,,676.1,0.0001562
,,,,,,,,,,676.4,0.0001759
,,,,,,,,,,676.7,0.0001643
,,,,,,,,,,677.0,0.0001674
,,,,,,,,,,677.4,0.0001348
,,,,,,,,,,677.7,0.0001317
,,,,,,,,,,678.0,0.0001437
,,,,,,,,,,678.3,0.0001317
,,,,,,,,,,678.7,0.000129
,,,,,,,,,,679.0,0.0001187
,,,,,,,,,,679.3,0.000121
,,,,,,,,,,679.7,0.0001227
,,,,,,,,,,680.0,9.953e-05
,,,,,,,,,,680.3,0.000112
,,,,,,,,,,680.7,9.284e-05
,,,,,,,,,,681.0,0.0001138
,,,,,,,,,,681.3,9.775e-05
,,,,,,,,,,681.6,8.703e-05
,,,,,,,,,,682.0,8.882e-05
,,,,,,,,,,682.3,8.302e-05
,,,,,,,,,,682.6,5.624e-05
,,,,,,,,,,682.9,6.963e-05
,,,,,,,,,,683.3,8.079e-05
,,,,,,,,,,683.6,6.65e-05
,,,,,,,,,,683.9,8.213e-05
,,,,,,,,,,684.2,9.284e-05
,,,,,,,,,,684.6,6.383e-05
,,,,,,,,,,684.9,6.561e-05
,,,,,,,,,,685.2,6.963e-05
,,,,,,,,,,685.6,5.981e-05
,,,,,,,,,,685.9,6.026e-05
,,,,,,,,,,686.2,5.044e-05
,,,,,,,,,,686.5,3.615e-05
,,,,,,,,,,686.9,5.356e-05
,,,,,,,,,,687.2,6.249e-05
,,,,,,,,,,687.5,6.07e-05
,,,,,,,,,,687.8,4.329e-05
,,,,,,,,,,688.2,5.445e-05
,,,,,,,,,,688.5,4.597e-05
,,,,,,,,,,688.8,6.695e-05
,,,,,,,,,,689.2,4.017e-05
,,,,,,,,,,689.5,4.24e-05
,,,,,,,,,,689.8,3.749e-05
,,,,,,,,,,690.1,5.758e-05
,,,,,,,,,,690.5,3.169e-05
,,,,,,,,,,690.8,4.285e-05
,,,,,,,,,,691.1,4.106e-05
,,,,,,,,,,691.4,3.169e-05
,,,,,,,,,,691.8,3.392e-05
,,,,,,,,,,692.1,3.839e-05
,,,,,,,,,,692.4,3.258e-05
,,,,,,,,,,692.7,2.589e-05
,,,,,,,,,,693.1,1.027e-05
,,,,,,,,,,693.4,1.875e-05
,,,,,,,,,,693.7,5.803e-06
,,,,,,,,,,694.0,1.83e-05
,,,,,,,,,,694.4,2.991e-05
,,,,,,,,,,694.7,2.455e-05
,,,,,,,,,,695.0,3.481e-05
,,,,,,,,,,695.3,2.544e-05
,,,,,,,,,,695.7,2.499e-05
,,,,,,,,,,696.0,2.053e-05
,,,,,,,,,,696.3,2.053e-05
,,,,,,,,,,696.6,1.83e-05
,,,,,,,,,,697.0,1.384e-05
,,,,,,,,,,697.3,2.008e-05
,,,,,,,,,,697.6,1.294e-05
,,,,,,,,,,697.9,2.633e-05
,,,,,,,,,,698.3,2.633e-05
,,,,,,,,,,698.6,1.919e-05
,,,,,,,,,,698.9,6.695e-06
,,,,,,,,,,699.2,4.91e-06
,,,,,,,,,,699.6,1.071e-05
,,,,,,,,,,699.9,1.518e-05
,,,,,,,,,,700.2,2.856e-05
,,,,,,,,,,700.5,2.142e-05
,,,,,,,,,,700.9,2.499e-05
,,,,,,,,,,701.2,1.696e-05
,,,,,,,,,,701.5,6.249e-06
,,,,,,,,,,701.8,1.205e-05
,,,,,,,,,,702.2,1.919e-05
,,,,,,,,,,702.5,3.57e-06
,,,,,,,,,,702.8,1.518e-05
,,,,,,,,,,703.1,2.008e-05
,,,,,,,,,,703.5,1.473e-05
,,,,,,,,,,703.8,1.027e-05
,,,,,,,,,,704.1,1.027e-05
,,,,,,,,,,704.4,1.428e-05
,,,,,,,,,,704.8,5.803e-06
,,,,,,,,,,705.1,4.91e-06
,,,,,,,,,,705.4,1.785e-06
,,,,,,,,,,705.7,4.016e-06
,,,,,,,,,,706.0,2.008e-05
,,,,,,,,,,706.4,1.785e-06
,,,,,,,,,,706.7,1.518e-05
,,,,,,,,,,707.0,3.124e-06
,,,,,,,,,,707.3,7.588e-06
,,,,,,,,,,707.7,4.016e-06
,,,,,,,,,,708.0,1.339e-06
,,,,,,,,,,708.3,2.633e-05
,,,,,,,,,,708.6,1.964e-05
,,,,,,,,,,709.0,4.016e-06
,,,,,,,,,,709.3,8.925e-07
,,,,,,,,,,709.6,1.339e-05
,,,,,,,,,,709.9,1.205e-05
,,,,,,,,,,710.3,1.027e-05
,,,,,,,,,,710.6,8.48e-06
,,,,,,,,,,710.9,0.0
,,,,,,,,,,711.2,0.0
,,,,,,,,,,711.5,1.473e-05
,,,,,,,,,,711.9,1.83e-05
,,,,,,,,,,712.2,1.205e-05
,,,,,,,,,,712.5,2.723e-05
,,,,,,,,,,712.8,3.124e-06
,,,,,,,,,,713.2,1.116e-05
,,,,,,,,,,713.5,2.231e-06
,,,,,,,,,,713.8,3.124e-06
,,,,,,,,,,714.1,1.518e-05
,,,,,,,,,,714.5,8.925e-07
,,,,,,,,,,714.8,3.124e-06
,,,,,,,,,,715.1,1.785e-06
,,,,,,,,,,715.4,8.927e-06
,,,,,,,,,,715.8,4.91e-06
,,,,,,,,,,716.1,1.339e-06
,,,,,,,,,,716.4,6.695e-06
,,,,,,,,,,716.7,8.48e-06
,,,,,,,,,,717.0,3.124e-06
,,,,,,,,,,717.4,8.925e-07
,,,,,,,,,,717.7,1.785e-06
,,,,,,,,,,718.0,1.071e-05
,,,,,,,,,,718.3,1.518e-05
,,,,,,,,,,718.7,4.016e-06
,,,,,,,,,,719.0,3.124e-06
,,,,,,,,,,719.3,1.25e-05
,,,,,,,,,,719.6,8.034e-06
,,,,,,,,,,719.9,4.91e-06
,,,,,,,,,,720.3,8.925e-07
,,,,,,,,,,720.6,3.124e-06
,,,,,,,,,,720.9,1.964e-05
,,,,,,,,,,721.2,1.294e-05
,,,,,,,,,,721.5,5.803e-06
,,,,,,,,,,721.9,1.785e-05
,,,,,,,,,,722.2,2.142e-05
,,,,,,,,,,722.5,1.16e-05
,,,,,,,,,,722.8,2.187e-05
,,,,,,,,,,723.2,4.464e-06
,,,,,,,,,,723.5,2.677e-06
,,,,,,,,,,723.8,2.053e-05
,,,,,,,,,,724.1,1.027e-05
,,,,,,,,,,724.4,3.124e-06
,,,,,,,,,,724.8,4.016e-06
,,,,,,,,,,725.1,3.57e-06
,,,,,,,,,,725.4,1.205e-05
,,,,,,,,,,725.7,9.373e-06
,,,,,,,,,,726.0,1.562e-05
,,,,,,,,,,726.4,1.785e-06
,,,,,,,,,,726.7,1.518e-05
,,,,,,,,,,727.0,9.373e-06
,,,,,,,,,,727.3,4.016e-06
,,,,,,,,,,727.7,4.464e-06
,,,,,,,,,,728.0,4.464e-06
,,,,,,,,,,728.3,6.695e-06
,,,,,,,,,,728.6,4.91e-06
,,,,,,,,,,728.9,8.925e-07
,,,,,,,,,,729.2,5.357e-06
,,,,,,,,,,729.6,8.927e-06
,,,,,,,,,,729.9,4.464e-06
,,,,,,,,,,730.2,8.48e-06
,,,,,,,,,,730.5,8.48e-06
,,,,,,,,,,730.8,4.016e-06
,,,,,,,,,,731.2,2.098e-05
,,,,,,,,,,731.5,4.462e-07
,,,,,,,,,,731.8,1.83e-05
,,,,,,,,,,732.1,8.034e-06
,,,,,,,,,,732.5,1.339e-06
,,,,,,,,,,732.8,7.142e-06
,,,,,,,,,,733.1,4.016e-06
,,,,,,,,,,733.4,5.803e-06
,,,,,,,,,,733.7,1.428e-05
,,,,,,,,,,734.0,1.339e-05
,,,,,,,,,,734.4,1.83e-05
,,,,,,,,,,734.7,1.116e-05
,,,,,,,,,,735.0,2.231e-06
,,,,,,,,,,735.3,7.588e-06
,,,,,,,,,,735.7,9.373e-06
,,,,,,,,,,736.0,2.231e-06
,,,,,,,,,,736.3,1.964e-05
,,,,,,,,,,736.6,6.695e-06
,,,,,,,,,,736.9,2.321e-05
,,,,,,,,,,737.2,5.357e-06
,,,,,,,,,,737.6,8.925e-07
,,,,,,,,,,737.9,6.249e-06
,,,,,,,,,,738.2,2.231e-06
,,,,,,,,,,738.5,8.034e-06
,,,,,,,,,,738.8,9.819e-06
,,,,,,,,,,739.2,1.919e-05
,,,,,,,,,,739.5,1.027e-05
,,,,,,,,,,739.8,1.116e-05
,,,,,,,,,,740.1,2.231e-06
,,,,,,,,,,740.4,1.027e-05
,,,,,,,,,,740.8,8.925e-07
,,,,,,,,,,741.1,2.677e-06
,,,,,,,,,,741.4,8.927e-06
,,,,,,,,,,741.7,1.339e-05
,,,,,,,,,,742.0,1.027e-05
,,,,,,,,,,742.3,1.027e-05
,,,,,,,,,,742.7,2.276e-05
,,,,,,,,,,743.0,4.462e-07
,,,,,,,,,,743.3,1.473e-05
,,,,,,,,,,743.6,4.91e-06
,,,,,,,,,,743.9,3.124e-06
,,,,,,,,,,744.3,1.205e-05
,,,,,,,,,,744.6,9.819e-06
,,,,,,,,,,744.9,1.205e-05
,,,,,,,,,,745.2,8.925e-07
,,,,,,,,,,745.5,9.819e-06
,,,,,,,,,,745.8,0.0
,,,,,,,,,,746.2,7.142e-06
,,,,,,,,,,746.5,1.83e-05
,,,,,,,,,,746.8,6.695e-06
,,,,,,,,,,747.1,6.695e-06
,,,,,,,,,,747.4,2.677e-06
,,,,,,,,,,747.8,3.57e-06
,,,,,,,,,,748.1,4.462e-07
,,,,,,,,,,748.4,4.462e-07
,,,,,,,,,,748.7,8.927e-06
,,,,,,,,,,749.0,1.16e-05
,,,,,,,,,,749.3,3.57e-06
,,,,,,,,,,749.7,2.231e-06
,,,,,,,,,,750.0,3.57e-06
,,,,,,,,,,750.3,1.785e-06
,,,,,,,,,,750.6,8.48e-06
,,,,,,,,,,750.9,5.357e-06
,,,,,,,,,,751.2,4.464e-06
,,,,,,,,,,751.6,1.339e-05
,,,,,,,,,,751.9,4.462e-07
,,,,,,,,,,752.2,4.464e-06
,,,,,,,,,,752.5,8.48e-06
,,,,,,,,,,752.8,2.677e-06
,,,,,,,,,,753.2,3.57e-06
,,,,,,,,,,753.5,8.034e-06
,,,,,,,,,,753.8,8.927e-06
,,,,,,,,,,754.1,4.464e-06
,,,,,,,,,,754.4,4.016e-06
,,,,,,,,,,754.7,6.249e-06
,,,,,,,,,,755.0,6.695e-06
,,,,,,,,,,755.4,7.142e-06
,,,,,,,,,,755.7,3.57e-06
,,,,,,,,,,756.0,4.464e-06
,,,,,,,,,,756.3,4.464e-06
,,,,,,,,,,756.6,6.249e-06
,,,,,,,,,,757.0,8.925e-07
,,,,,,,,,,757.3,1.16e-05
,,,,,,,,,,757.6,4.016e-06
,,,,,,,,,,757.9,1.384e-05
,,,,,,,,,,758.2,8.925e-07
,,,,,,,,,,758.5,1.339e-05
,,,,,,,,,,758.8,1.071e-05
,,,,,,,,,,759.2,2.633e-05
,,,,,,,,,,759.5,2.677e-06
,,,,,,,,,,759.8,1.518e-05
,,,,,,,,,,760.1,4.462e-07
,,,,,,,,,,760.4,1.339e-06
,,,,,,,,,,760.7,7.588e-06
,,,,,,,,,,761.1,8.034e-06
,,,,,,,,,,761.4,4.91e-06
,,,,,,,,,,761.7,6.249e-06
,,,,,,,,,,762.0,2.231e-06
,,,,,,,,,,762.3,8.925e-07
,,,,,,,,,,762.6,1.83e-05
,,,,,,,,,,763.0,1.25e-05
,,,,,,,,,,763.3,8.925e-07
,,,,,,,,,,763.6,1.339e-06
,,,,,,,,,,763.9,8.927e-06
,,,,,,,,,,764.2,4.462e-07
,,,,,,,,,,764.5,2.187e-05
,,,,,,,,,,764.8,7.588e-06
,,,,,,,,,,765.2,7.588e-06
,,,,,,,,,,765.5,5.357e-06
,,,,,,,,,,765.8,7.142e-06
,,,,,,,,,,766.1,6.249e-06
,,,,,,,,,,766.4,1.83e-05
,,,,,,,,,,766.7,8.48e-06
,,,,,,,,,,767.0,1.339e-06
,,,,,,,,,,767.4,3.124e-06
,,,,,,,,,,767.7,7.588e-06
,,,,,,,,,,768.0,1.651e-05
,,,,,,,,,,768.3,1.205e-05
,,,,,,,,,,768.6,7.588e-06
,,,,,,,,,,768.9,4.91e-06
,,,,,,,,,,769.2,2.677e-06
,,,,,,,,,,769.6,1.384e-05
,,,,,,,,,,769.9,4.464e-06
,,,,,,,,,,770.2,8.925e-07
,,,,,,,,,,770.5,1.607e-05
,,,,,,,,,,770.8,1.205e-05
,,,,,,,,,,771.1,9.819e-06
,,,,,,,,,,771.4,5.357e-06
,,,,,,,,,,771.8,8.925e-07
,,,,,,,,,,772.1,4.462e-07
,,,,,,,,,,772.4,6.695e-06
,,,,,,,,,,772.7,1.205e-05
,,,,,,,,,,773.0,3.57e-06
,,,,,,,,,,773.3,4.462e-07
,,,,,,,,,,773.6,4.462e-07
,,,,,,,,,,774.0,3.57e-06
,,,,,,,,,,774.3,1.027e-05
,,,,,,,,,,774.6,8.48e-06
,,,,,,,,,,774.9,2.677e-06
,,,,,,,,,,775.2,4.464e-06
,,,,,,,,,,775.5,4.91e-06
